plz;strasse;nummer;bezeichnung;schlüssel nr;bemerkung;zweck;lon;lat;image
8330;Pfaffbergstrasse;21;Schulh. Pfaffberg;62;;Schule;8.7939231;47.3674664;
8330;Pfaffbergstrasse;21;Schulhaus Pfaffberg;98;;Schulhaus Pfaffberg;8.7939348;47.3674682;
8331;Pfäffikerstrasse;8.1;Pfäffikerstr. 10b, A;92;besseres Foto machen;Tiefgarage;8.8066607;47.3446165;Pfäffikerstrasse 8.1.jpg
8330;Pilatusstrasse;40;Pilatusstr. 40;103;;Tiefgarage Schellenberg;8.783515;47.363521;
8330;Pilatusstrasse;40;Pilatusstr. 40;103;;Tiefgarage Schellenberg;8.782951;47.363429;
8330;Pilatusstrasse;8.1;Überbauung Pilatusstrasse;;nicht auffindbar im Schliessplan;Tiefgarage;8.7839828;47.3641006;Pilatusstrasse 8.1.jpg
8330;Rappengasse;31;Rappengasse 31;85;;Tiefgarage;8.7835904;47.3660431;Rappengasse 31.jpg
8330;Rappengasse;30;Rappengasse 30;96;;Gewerbe;;;
8330;Rigistrasse;2.1;MFH, Rigistr. 2-10;44;;Tiefgarage;8.7870863;47.3643872;Rigistrasse 2.1.jpg
8330;Rigistrasse;16;Tumbelenstrasse 43;56;;Neubau  ;8.7864733;47.3638486;
8330;Rigistrasse;34;Rigistrasse 34;131;;Tiefgarage;;;
8330;Ruetschbergstrasse;7.1;Ruetschbergstr. 7-15;76;;Tiefgarage?;;;
8330;Russikerstrasse;54.1;Russikerstrasse 54;114;;Tiefgarage;8.7830164;47.3707201;Russikerstrasse 54.1.jpg
8330;Schanzstrasse;10;ARA Schanzstr. 10;46;;ARA;8.769154;47.3657431;Schanzstrasse 10.jpg
8330;Schanzstrasse;2;Mö. Waeber Schanz 2;65;;Gewerbe;8.769581;47.3643725;Schanzstrasse 2.jpg
8330;Schanzstrasse;5;Schanzstrasse 5;101;;?;;;
8330;Schanzstrasse;17;"Gewerbe ""Atrium""";;;Schlüsselquittung vorhanden;8.769534;47.366077;Schanzstrasse 17.jpg
8330;Schanzweg;2;Gem. Schanzweg 2;46;;Gemeindewerke;8.7679482;47.3650158;Schanzweg 2.jpg
8330;Schanzweg;11;Schanzweg 11;70;;Gewerbe;8.7670305;47.3635496;
8330;Schärackerstrasse;12;Kath. Kirchgemeinde;11;;Kirchgemeindehaus;;;
8330;Schärackerstrasse;13;Schärackerstrasse 13;68;;MFH;8.7802883;47.3708246;Schärackerstrasse 13.jpg
8330;Schriberweidstrasse;20.1;Schriberweid 20-30;108;;Tiefgarage, Schlüsseldoppel im Depot;8.7770727;47.3735858;Schriberweidstrasse 20.1
8330;Schulhaustrasse;9;Schulhaus Auslikon;10;;Schulhaus Auslikon;8.8083406;47.3438357;Schulhausstrasse 9.jpg
8330;Schulstrasse;6;Schulstr. 6+8;48;;MFH;8.7793841;47.3672825;Schulstrasse 6.jpg
8330;Schulstrasse;22;Schulstrasse 22;87;;MFH;8.7805854;47.3669512;Schulstrasse 22.jpg
8330;Schulstrasse;10;Schulstr. 10/12;121;;Tiefgarage;8.780237;47.3670524;Schulstrasse 10
