plz,strasse,nummer,bemerkung,zweck,lon,lat,modifikation,bemerkung
8330,Schulstrasse,10,Tiefgarage,"intern,tlf",8.780231,47.367083,30.3.2021,
8330,Schulstrasse,22-26,Überbauung Rosshöri,"tlf,intern",8.780573,47.366964,3.7.2017,
8330,Schützenhausstrasse,5,Schellenberg Druck,"ersteinsatz,intern,tlf",8.771999,47.365738,26.4.2023,
8330,Schützenhausstrasse,17,Schnitzelheizung Schanz,tlf,8.768833,47.366339,1.11.2003,
8330,Schützenhausstrasse,19,Schützenhaus,"intern,tlf",8.768739,47.36697,15.12.2021,
8330,Seestrasse,45,Ref. Kirchgmeindehaus,"intern,tlf",8.781606,47.365679,25.11.2022,
8330,Speckstrasse,9,Scherer Fensterbau,"gma,ersteinsatz,intern,tlf",8.76999,47.370363,18.9.2023,
8330,Speckstrasse,19,HABA,"intern,tlf",8.76883,47.372076,25.4.2001,
8330,Speckstrasse,18,HS Werk Witzberg,"gma,ersteinsatz,intern,tlf",8.770648,47.372108,12.12.2025,
8330,Speerstrasse,15,Schneiders Quer,"gma,ersteinsatz,tlf",8.771158,47.369425,1.2.2010,
8330,Stogelenweg,2,Ortsmuseum,"gma,ersteinsatz,intern,tlf",8.781442,47.364243,13.2.2020, => ersteinsatz und BMA gemischt
8330,Tarnhof,1.1,Palme,tlf,8.789960,47.359556,17.3.2002,
8330,Tumbelenstrasse,6,Chesselhaus,"gma,ersteinsatz,intern,tlf",8.782544,47.364618,1.11.2018,
8330,Tumbelenstrasse,20,HS Dorf,"gma,ersteinsatz,intern,tlf",8.782983,47.36481,18.4.2017,
8330,Tumbelenstrasse,74,Tiefgarage Tannwiese - siehe Baumenstrasse 2.1,intern,8.789476,47.362258,,
8330,Turmstrasse,5,Stiftung zur Palme,"gma,ersteinsatz,intern",8.78181,47.367987,,
8330,Turmstrasse,9,Zentrum Frohwies,"gma,ersteinsatz,intern,tlf",8.780748,47.368892,27.10.2017,
8330,Turmstrasse,10,Coop,"gma,ersteinsatz,intern",8.781501,47.368992,,
8330,Usterstrasse,,Aathalkonzept,intern,8.766781,47.36281,,
8330,Usterstrasse,5,Ref. Kirche,"gma,intern,tlf",8.780728,47.365331,25.11.2022,
8330,Waldfriedenstrasse,21,Stiftung zur Palme,"gma,ersteinsatz,intern",8.794742,47.375263,,
8330,Wallikerstrasse,44,Lindenbaum,"gma,ersteinsatz,intern,tlf",8.789615,47.370568,28.2.2023,
8330,Weidstrasse,33,Lindenbaum,"intern,tlf",8.789457,47.370059,30.5.2023,
8330,Weiherholzstrasse,2,Pfadiheim,"gma,ersteinsatz",8.792374,47.371007,,
8330,Witzbergstrasse,1,Burger King,"intern,tlf",8.774158,47.370876,24.3.2016,
8330,Witzbergstrasse,5,Gewerbehaus,tlf,8.773769,47.371026,1.9.2008,
8330,Witzbergstrasse,24,Gewerbehaus,"intern,tlf",8.76976,47.370142,15.5.2022,
8330,Zelglistrasse,7,Alterszentrum Sophie-Guyer Haus Bachtel Böndler Guyer Stocker Zelgli,"gma,ersteinsatz",8.7848,47.368133,,
