plz,strasse,nummer,lon,lat,status,modifikation,batterie,kommentar
8330,Berghaldenstrasse,21,8.793632507324219,47.37413787841797,IN_BETRIEB,26.11.2016,False,
8330,Berghaldenstrasse,27,8.792469,47.374512,ANMELDUNG,29.10.2025,False,
8330,Berghaldenstrasse,35,8.791199684143066,47.37501907348633,IN_BETRIEB,25.10.2016,False,
8330,Berghaldenstrasse,39,8.790543,47.375354,IN_BETRIEB,26.02.2025,True,Batterie
8330,Berghaldenstrasse,44,8.789968490600586,47.3762321472168,IN_BETRIEB,23.12.2011,True,Batterie
8330,Bergholzstrasse,3,8.790642738342285,47.37709045410156,IN_BETRIEB,15.09.2016,False,
8330,Bergstrasse,15,8.78972053527832,47.375431060791016,UNBEKANNT,,False,"(BG2008-0071), nach meinem Wissensstand ist es eine thermische Anlage und nicht erstellt."
8330,Bergstrasse,24,8.789539337158203,47.37660598754883,IN_BETRIEB,02.02.2022,False,
8330,Bergstrasse,26,8.789440155029297,47.37687301635742,ANMELDUNG,07.11.2022,False,
8330,Bergweidstrasse,6,8.79036,47.374335,IN_BETRIEB,20.03.2025,True,Batterie
8330,Bergweidstrasse,7,8.79063892364502,47.37484359741211,IN_BETRIEB,01.05.2020,False,
8330,Bergweidstrasse,9,8.79065990447998,47.37483215332031,IN_BETRIEB,01.05.2020,False,
8330,Bergweidstrasse,15,8.79138,47.374459,IN_BETRIEB,25.03.2025,False,
8330,Bergweidstrasse,20,8.792012214660645,47.37397384643555,IN_BETRIEB,14.04.2012,False,
8331,Blumengasse,10,8.816503524780273,47.342227935791016,IN_BETRIEB,,False,"kein Plan vorhanden, BG2010-0077"
8330,Boden,3.1,8.756766,47.359248,IN_BETRIEB,06.07.2026,False,
8330,Bodenackerstrasse,4,8.794642448425293,47.3747673034668,IN_BETRIEB,19.04.2017,False,
8330,Bodenackerstrasse,8d,8.796407699584961,47.37491989135742,IN_BETRIEB,20.09.2023,True,Batterie
8330,Bodenackerstrasse,9,8.793951988220215,47.37471008300781,IN_BETRIEB,20.04.2023,False,
8330,Bodenackerstrasse,10d,8.795961380004883,47.37502670288086,IN_BETRIEB,21.09.2023,True,Batterie
8330,Bodenackerstrasse,15,8.793194770812988,47.374935150146484,IN_BETRIEB,24.04.2023,False,
8330,Bodenackerstrasse,30,8.792141914367676,47.37599563598633,IN_BETRIEB,14.12.2023,False,
8330,Bodenackerstrasse,39,8.791214942932129,47.37553405761719,IN_BETRIEB,09.11.2015,False,
8330,Bodenackerstrasse,20b,8.793079376220703,47.375606536865234,IN_BETRIEB,12.06.2023,False,
8330,Bodenackerstrasse,22a,8.792619705200195,47.375587463378906,ANMELDUNG,14.07.2023,False,
8330,Bodenackerstrasse,22b,8.792756080627441,47.37574005126953,IN_BETRIEB,12.06.2023,False,
8330,Bodenackerstrasse,44.1,8.791013717651367,47.37666320800781,IN_BETRIEB,18.02.2022,False,
8330,Bodenackerstrasse,44,8.791269302368164,47.376708984375,IN_BETRIEB,25.09.2015,False,
8330,Bodenackerstrasse,52,8.790231704711914,47.37688446044922,IN_BETRIEB,30.06.2022,False,
8330,Bodenackerstrasse,54,8.790202140808105,47.37709426879883,IN_BETRIEB,22.02.2024,False,
8330,Bodenackerstrasse,55,8.789628028869629,47.37705612182617,IN_BETRIEB,18.01.2024,True,Batterie
8330,Bründlerstrasse,5,8.795459747314453,47.36452865600586,IN_BETRIEB,10.02.2020,False,
8330,Bründlerstrasse,7,8.79577350616455,47.364376068115234,IN_BETRIEB,10.02.2020,False,
8330,Böndlerstrasse,17,8.786050796508789,47.368751525878906,IN_BETRIEB,11.08.2017,False,
8330,Böndlerstrasse,19,8.786312103271484,47.36859893798828,IN_BETRIEB,30.03.2017,False,
8330,Böndlerstrasse,21,8.786481857299805,47.368431091308594,IN_BETRIEB,,False,"kein Plan vorhanden, BG2007-0115"
8330,Büelstrasse,19,8.779400825500488,47.366214752197266,IN_BETRIEB,18.08.2021,False,
8330,Bürglenstrasse,6,8.792128562927246,47.3607292175293,IN_BETRIEB,29.08.2019,False,
8330,Bürglenstrasse,8,8.791916847229004,47.36064147949219,UNBEKANNT,,False,(BG2012-0129) nicht erstellt
8331,Chrummachergasse,6/8,8.811841011047363,47.34639358520508,UNBEKANNT,,False,keine Ahnung
8330,Dorfstrasse,23,8.792995,47.361901,IN_BETRIEB,31.06.2022,False
8330,Dorfstrasse,31.2,8.793743,47.362185,ANMELDUNG,31.08.2026,False,kein Plan vorhanden
8330,Dorfstrasse,57,8.795233726501465,47.36305618286133,ANMELDUNG,12.08.2024,False,
8331,Dorfstrasse,6,8.8057861328125,47.34552001953125,IN_BETRIEB,03.09.2024,True,Batterie
8331,Dorfstrasse,8,8.805741310119629,47.3453369140625,IN_BETRIEB,23.08.2024,True,Batterie
8331,Dorfstrasse,21,8.80441665649414,47.344566345214844,IN_BETRIEB,27.03.2014,False,
8331,Dorfstrasse,23,8.80400276184082,47.34442138671875,IN_BETRIEB,05.07.2021,False,
8330,Dörflistrasse,2,8.79389476776123,47.36176300048828,IN_BETRIEB,23.10.2019,False,
8330,Dörflistrasse,4,8.794092178344727,47.361663818359375,IN_BETRIEB,17.04.2020,False,
8330,Dörflistrasse,5,8.794365882873535,47.36174774169922,IN_BETRIEB,01.05.2019,False,
8330,Eichholzstrasse,1,8.780411,47.374205,IN_BETRIEB,01.04.2025,True,Batterie
8330,Eichholzstrasse,2,8.780815124511719,47.37407302856445,IN_BETRIEB,03.12.2016,False,
8330,Eichholzstrasse,12,8.781017303466797,47.37450408935547,IN_BETRIEB,29.08.2023,True,Batterie
8330,Eichholzstrasse,15,8.780393600463867,47.3745231628418,IN_BETRIEB,18.11.2016,False,
8330,Eichholzstrasse,21,8.77968978881836,47.37483215332031,UNBEKANNT,,False,nicht erstellt
8330,Eichholzstrasse,23,8.779459953308105,47.37491226196289,IN_BETRIEB,,False,"kein Plan vorhanden, BG2010-0015"
8330,Eichholzstrasse,26,8.779584884643555,47.375221252441406,IN_BETRIEB,09.06.2015,False,
8330,Eichholzstrasse,27,8.779011726379395,47.37501525878906,UNBEKANNT,,False,"BG2010-0100 ob effektiv erstellt, unklar"
8330,Eichholzstrasse,28,8.779512405395508,47.375247955322266,IN_BETRIEB,23.07.2015,False,
8330,Eichholzstrasse,29,8.778882026672363,47.375030517578125,IN_BETRIEB,,False,"kein Plan vorhanden, BG2009,0034"
8330,Eichholzstrasse,40,8.778132438659668,47.37504959106445,IN_BETRIEB,01.04.2022,False,
8330,Eichholzstrasse,42,8.778158187866211,47.375160217285156,IN_BETRIEB,11.06.2021,False,
8330,Eichholzstrasse,44,8.777987480163574,47.375099182128906,IN_BETRIEB,01.04.2022,False,
8330,Eichholzstrasse,46,8.778010368347168,47.375213623046875,IN_BETRIEB,23.08.2022,False,
8330,Eichholzstrasse,50,8.777861595153809,47.375267028808594,IN_BETRIEB,31.10.2024,False,
8330,Eichholzstrasse,52,8.777695655822754,47.375205993652344,IN_BETRIEB,14.08.2019,False,Anmeldung?
8330,Eichholzstrasse,56,8.77755069732666,47.37525939941406,IN_BETRIEB,10.05.2023,False,
8330,Eichholzstrasse,58,8.777557373046875,47.3753547668457,IN_BETRIEB,18.04.2019,False,Anmeldung?
8330,Feldstrasse,2,8.78139877319336,47.37385559082031,IN_BETRIEB,14.06.2021,False,
8330,Feldstrasse,15,8.780233,47.373919,ANMELDUNG,11.11.2025,False,keine Pläne vorhanden
8330,Feldstrasse,16,8.780179977416992,47.374298095703125,IN_BETRIEB,27.12.2022,False,
8330,Feldstrasse,20,8.779699325561523,47.37449645996094,IN_BETRIEB,15.02.2023,False,
8330,Feldstrasse,22,8.779466,47.374595,ANMELDUNG,05.06.2026,True,Batterie
8330,Feldstrasse,23a,8.779077529907227,47.37407684326172,IN_BETRIEB,,False,"kein Plan vorhanden, BG2011-0004"
8330,Feldstrasse,24,8.779254913330078,47.37465286254883,IN_BETRIEB,12.01.2017,False,
8330,Feldstrasse,25a,8.778658866882324,47.37422561645508,IN_BETRIEB,06.05.2022,False,
8330,Feldstrasse,25b,8.778512954711914,47.374046325683594,IN_BETRIEB,12.09.2019,False,Norddach
8330,Feldstrasse,25b,8.778512954711914,47.374046325683594,IN_BETRIEB,14.02.2017,False,Süddach
8330,Feldstrasse,26,8.778983116149902,47.37477493286133,IN_BETRIEB,,False,"kein Plan vorhanden, BG2013-0057"
8330,Feldstrasse,29b,8.777934074401855,47.3742561340332,IN_BETRIEB,28.05.2024,True,Batterie
8330,Feldstrasse,46,8.77682113647461,47.37554168701172,IN_BETRIEB,17.02.2024,False,
8330,Friedhofstrasse,9,8.778773,47.365855,IN_BETRIEB,29.11.2024,False,
8330,Friedhofstrasse,11,8.778383255004883,47.3660774230957,IN_BETRIEB,29.07.2024,False,siehe auch Obermattstrasse 2
8330,Friedhofstrasse,16,8.778661,47.366167,IN_BETRIEB,15.08.2024,True,Batterie
8330,Friedhofstrasse,20,8.778272,47.366393,IN_BETRIEB,21.02.2025,True,Batterie
8330,Friedhofstrasse,37,8.7764,47.366497,ANMELDUNG,15.04.2026,False,
8330,Friedhofstrasse,59.1,8.77341365814209,47.36732864379883,IN_BETRIEB,24.01.2024,False,
8330,Friedhofstrasse,59.3,8.774803161621094,47.36682891845703,IN_BETRIEB,08.02.2018,False,
8330,Gartenstrasse,2,8.792235374450684,47.36533737182617,IN_BETRIEB,14.08.2009,False,
8330,Gartenstrasse,3,8.792731285095215,47.36537170410156,IN_BETRIEB,25.06.2018,False,
8330,Gartenstrasse,4,8.792638778686523,47.36515808105469,ANMELDUNG,21.04.2023,False,
8330,Gärtliackerstrasse,7,8.826206,47.395638,IN_BETRIEB,14.11.2025,True,Batterie
8330,Geenstrasse,1-7,8.795427,47.36345,ANMELDUNG,12.02.2026,False,
8330,Geenstrasse,2,8.796256065368652,47.36362838745117,IN_BETRIEB,,False,"kein Plan vorhanden, BG2009-0095"
8330,Geenstrasse,20.1,8.796231269836426,47.363975524902344,IN_BETRIEB,17.01.2024,False,
8331,Girhaldenstrasse,6,8.8102388381958,47.3488883972168,IN_BETRIEB,27.03.2015,False,
8330,Girhaldenstrasse,15,8.811646,47.349471,IN_BETRIEB,26.05.2026,False,
8330,Glärnischstrasse,4,8.78652572631836,47.36301803588867,IN_BETRIEB,12.08.2022,False,
8330,Glärnischstrasse,5,8.787124633789062,47.36304473876953,IN_BETRIEB,09.05.2008,False,
8330,Glärnischstrasse,8,8.787033081054688,47.36268615722656,IN_BETRIEB,09.01.2024,False,
8330,Glärnischstrasse,10,8.787246,47.36264,ANMELDUNG,23.02.2026,False, kein richtiger Plan erhalten
8330,Güchstrasse,5.1,8.794086456298828,47.36317443847656,IN_BETRIEB,07.09.2023,False,
8330,Güchstrasse,7.1,8.793951988220215,47.36323165893555,IN_BETRIEB,25.01.2024,False,
8330,Hanggelerstrasse,3,8.827348709106445,47.395179748535156,IN_BETRIEB,17.11.2016,False,
8330,Heidenwiesstrasse,6,8.801445007324219,47.362937927246094,IN_BETRIEB,27.12.2017,False,
8330,Heligenstrasse,2.1,8.800801277160645,47.355186462402344,IN_BETRIEB,16.05.2024,False,
8330,Hermatswilerstrasse,20,8.806741714477539,47.381629943847656,IN_BETRIEB,10.02.2023,False,
8330,Hermatswilerstrasse,50,8.825438499450684,47.393375396728516,IN_BETRIEB,30.11.2016,False,
8330,Hermatswilerstrasse,62,8.826594,47.394514,IN_BETRIEB,05.05.2023,False,
8330,Hittnauerstrasse,20,8.790833473205566,47.36417770385742,IN_BETRIEB,01.11.2018,False,Schulhaus Mettlen
8330,Hittnauerstrasse,25,8.79211139678955,47.36474609375,IN_BETRIEB,07.04.2021,False,
8330,Hittnauerstrasse,26,8.791979789733887,47.364437103271484,IN_BETRIEB,01.09.2023,False,
8330,Hittnauerstrasse,28,8.791707038879395,47.364349365234375,IN_BETRIEB,13.04.2018,False,
8330,Hittnauerstrasse,34,8.793106079101562,47.36440658569336,IN_BETRIEB,24.05.2023,False,Haus B
8330,Hittnauerstrasse,36,8.793627738952637,47.36453628540039,IN_BETRIEB,02.06.2022,False,
8330,Hittnauerstrasse,52,8.794897,47.364809,ANMELDUNG,02.09.2026,True,Batterie
8330,Hittnauerstrasse,83,8.79764461517334,47.365203857421875,IN_BETRIEB,23.10.2017,False,
8330,Hochstrasse,4,8.78258228302002,47.36690139770508,IN_BETRIEB,30.11.2016,False,
8330,Hochstrasse,15,8.78351,47.366898,ANMELDUNG,18.11.2025,False,
8330,Hochstrasse,63,8.788303,47.364207,IN_BETRIEB,10.06.2025,False,
8330,Hochstrasse,72,8.788299560546875,47.363590240478516,IN_BETRIEB,18.03.2021,False,
8330,Hochstrasse,73,8.788499,47.36385,IN_BETRIEB,03.09.2025,False,
8330,Hochstrasse,75,8.788825988769531,47.36370086669922,IN_BETRIEB,22.10.2020,False,
8330,Hochstrasse,128,8.79175853729248,47.36088943481445,IN_BETRIEB,,False,
8330,Hochstrasse,137,8.793221473693848,47.36090850830078,IN_BETRIEB,28.11.2013,False,
8330,Hochstrasse,139,8.793389320373535,47.36085510253906,IN_BETRIEB,28.11.2013,False,
8330,Hochstrasse,141,8.793621063232422,47.36073303222656,IN_BETRIEB,28.11.2013,False,
8330,Hochstrasse,187,8.795430183410645,47.35892105102539,IN_BETRIEB,07.06.2013,False,
8330,Hochstrasse,190,8.795437812805176,47.35810852050781,IN_BETRIEB,19.08.2024,False,
8330,Hofwiesenstrasse,1,8.78189754486084,47.37364959716797,IN_BETRIEB,27.06.2023,False,
8330,Hofwiesenstrasse,2,8.781890869140625,47.37334442138672,IN_BETRIEB,27.06.2023,False,
8330,Hofwiesenstrasse,3,8.781872749328613,47.373783111572266,IN_BETRIEB,27.06.2023,False,
8330,Hofwiesenstrasse,4,8.781917572021484,47.37318801879883,IN_BETRIEB,27.06.2023,False,
8330,Hofwiesenstrasse,5,8.782279014587402,47.373661041259766,IN_BETRIEB,12.04.2023,False,
8330,Hofwiesenstrasse,6,8.78231143951416,47.37334060668945,IN_BETRIEB,27.06.2023,False,
8330,Hofwiesenstrasse,8,8.782505989074707,47.37324523925781,IN_BETRIEB,27.06.2023,False,
8330,Hofwiesenstrasse,14,8.782843589782715,47.37303161621094,IN_BETRIEB,13.07.2023,False,
8330,Hofwiesenstrasse,16,8.783088,47.372981,ANMELDUNG,26.11.2025,False,
8330,Hofwiesenstrasse,25, 8.783186,47.373274,ANMELDUNG,07.09.2026,True,Batterie
8330,Hofwiesenstrasse,27,8.783445358276367,47.37321853637695,IN_BETRIEB,07.09.2023,False,
8330,Hofwiesenstrasse,29,8.783477783203125,47.373199462890625,IN_BETRIEB,07.09.2023,False,
8330,Hohlgasse,13,8.765369415283203,47.3548698425293,IN_BETRIEB,07.07.2022,False,
8330,Hotzenweidstrasse,45a,8.778013229370117,47.37271499633789,IN_BETRIEB,23.02.2024,False,
8330,Hotzenweidstrasse,49,8.777950286865234,47.37308883666992,IN_BETRIEB,06.04.2021,False,
8330,Hotzenweidstrasse,53B,8.778408,47.373384,ANMELDUNG,17.07.2026,True,Batterie
8330,Hotzenweidstrasse,53E,8.778197288513184,47.37346267700195,IN_BETRIEB,30.07.2012,False,
